address,bank,rating,review_title_by_user,review,rating_title_by_user,useful_count,polarity,compound,Sentiment_Category,cleaned_review,label
Cardiff,Santander,5.0,"""Great""","My mother has suggested Santander to open a saving account with them. Since she is govt employee, know all benefits and details. Hence I am having an account with them past 7 years. Need to maintain a minimum balance of 3K. ATM and branches are near. I use to get all details and update from bank.",Blown Away!,43,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.3818}",0.3818,Neutral,my mother has suggested santander to open a saving account with them since she is govt employee know all benefits and details hence i am having an account with them past 7 years need to maintain a minimum balance of 3k atm and branches are near i use to get all details and update from bank ,1
Cardiff,HSBC,5.0,"""Great bank """,I am using HSBC saving account for more than 5 years. When I joined my previous company they made me to open a salary account with this bank. Later I resigned that job so now converted to saving account. Need to maintain a minimum balance of 10K its kind high if not maintain an amount charges are final. I get calls from banker if they provide any offers  for other products.,Blown Away!,26,"{'neg': 0.06, 'neu': 0.891, 'pos': 0.05, 'compound': 0.0772}",0.0772,Neutral,i am using hsbc saving account for more than 5 years when i joined my previous company they made me to open a salary account with this bank later i resigned that job so now converted to saving account need to maintain a minimum balance of 10k its kind high if not maintain an amount charges are final i get calls from banker if they provide any offers for other products ,1
Hull,Unknown,3.0,"""Need to improve their service""","UKn Bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years. The customer service is need to improve and I am keeping minimum balance of pounds. 500. Their net banking facility is okay, I went to the branch for the cash deposit and the response is okay.",Satisfactory,30,"{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.6908}",0.6908,Neutral,ukn bank cash deposit machine is not convenient to use and i am using this saving account more than 10 years the customer service is need to improve and i am keeping minimum balance of pounds 500 their net banking facility is okay i went to the branch for the cash deposit and the response is okay ,0
Hull,Santander,4.0,"""Need to improve in service""","Santander has best Internet banking and its very fast and easy to access any one. I am using this savings account more than 10 years,  if i withdrawal cash more than 5 time no charges. Mostly i am not taking cash at ATM.  I am doing more transcation, so no need to maintain minimum balance and getting immediate response from customer service Bank employees attitude must be change.",Great!,41,"{'neg': 0.097, 'neu': 0.786, 'pos': 0.117, 'compound': 0.3477}",0.3477,Neutral,santander has best internet banking and its very fast and easy to access any one i am using this savings account more than 10 years if i withdrawal cash more than 5 time no charges mostly i am not taking cash at atm i am doing more transcation so no need to maintain minimum balance and getting immediate response from customer service bank employees attitude must be change ,1
Peterborough,Unknown,4.0,"""Need to improve customer service ""","YES bank service is good, I have been holding saving  account for more than 4 years  but  past two years I am not using  this account , because I forget net banking details if I contact the customer care there is no response so stop using this account itself. ATM and branches services are good.  I use to get alert message on time.",Great!,21,"{'neg': 0.117, 'neu': 0.671, 'pos': 0.211, 'compound': 0.7735}",0.7735,Neutral,yes bank service is good i have been holding saving account for more than 4 years but past two years i am not using this account because i forget net banking details if i contact the customer care there is no response so stop using this account itself atm and branches services are good i use to get alert message on time ,1
Peterborough,Lloyds Bank,4.5,"""Good service""",I am holding a salary account with Lloyds Bank past  2.5 years. I got an immediate alert message on time. I am using mobile app and net banking both are user friendly to access. I need to pay 500 pounds around  for SMS charge and account service on yearly basis.,Excellent!,29,"{'neg': 0.029, 'neu': 0.861, 'pos': 0.111, 'compound': 0.6124}",0.6124,Neutral,i am holding a salary account with lloyds bank past 2 5 years i got an immediate alert message on time i am using mobile app and net banking both are user friendly to access i need to pay 500 pounds around for sms charge and account service on yearly basis ,1
Peterborough,Santander,4.0,"""Need to improve service """,I am using saving account from Santander almost 7-8 years.  Minimum amount need to maintain of 1-5K on monthly basis.  I get only OTP number on time but once the amount debited or credited I wont get any message from their end. I am using  net banking and it is good to access.  There is some charge of 500 pounds on yearly need to pay.,Great!,34,"{'neg': 0.024, 'neu': 0.853, 'pos': 0.123, 'compound': 0.7684}",0.7684,Neutral,i am using saving account from santander almost 7 8 years minimum amount need to maintain of 1 5k on monthly basis i get only otp number on time but once the amount debited or credited i wont get any message from their end i am using net banking and it is good to access there is some charge of 500 pounds on yearly need to pay ,1
Peterborough,Unknown,3.0,"""Good""","Since 14 years, I am using Oriental Bank savings account and this branch is located very far. ATM service is near and i am keeping minimum balance of pounds. 2500 customer service and this bank app is really good. Instantly I am getting messages from bank.",Satisfactory,15,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.4927}",0.4927,Neutral,since 14 years i am using oriental bank savings account and this branch is located very far atm service is near and i am keeping minimum balance of pounds 2500 customer service and this bank app is really good instantly i am getting messages from bank ,0
Hull,HSBC,4.0,"""Best  Service""",I have Hdfc bank salary account for the past 3 to 4 years . I am using mobile  banking service is used for all transactions and money transfer .If contact customer service for any query then wil be getting good response .I am satisfied with the overall banking service .,Great!,24,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6908}",0.6908,Neutral,i have hdfc bank salary account for the past 3 to 4 years i am using mobile banking service is used for all transactions and money transfer if contact customer service for any query then wil be getting good response i am satisfied with the overall banking service ,1
Peterborough,Santander,5.0,"""Need to provide more offers""","I maintain salary cum saving account with Santander. On 2015, my company has suggested to opened an account. Need to maintain a minimum balance of 3K. There is no hidden charge. On quarter basis SMS charge is applicable of 12 - 15 pounds. ATM charges are applicable if I cross more than 5 times in a month of 40 pounds.",Blown Away!,17,"{'neg': 0.076, 'neu': 0.924, 'pos': 0.0, 'compound': -0.5106}",-0.5106,To be Improved,i maintain salary cum saving account with santander on 2015 my company has suggested to opened an account need to maintain a minimum balance of 3k there is no hidden charge on quarter basis sms charge is applicable of 12 15 pounds atm charges are applicable if i cross more than 5 times in a month of 40 pounds ,1
Cardiff,Unknown,5.0,"""Good bank """,Standard Chartered Bank has a very good app and i am using this account more than 9 years. This is a salary comes savings account so need to maintain minimum balance and the customer service is very very good.  I am continuously getting offer messages from bank.,Blown Away!,23,"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.7496}",0.7496,Neutral,standard chartered bank has a very good app and i am using this account more than 9 years this is a salary comes savings account so need to maintain minimum balance and the customer service is very very good i am continuously getting offer messages from bank ,1
Swansea,NatWest,4.0,"""Good saving account """,I maintain a saving account with INDUSIND for the past 1 year. I no need to maintain a minimum balance account. Since my friend is working as a executive and he has recommend to open an account with them. Hence I chosen it. I use this account for the transaction. I use to get offers message from their end.,Great!,20,"{'neg': 0.04, 'neu': 0.856, 'pos': 0.104, 'compound': 0.5423}",0.5423,Neutral,i maintain a saving account with indusind for the past 1 year i no need to maintain a minimum balance account since my friend is working as a executive and he has recommend to open an account with them hence i chosen it i use this account for the transaction i use to get offers message from their end ,1
Swansea,Lloyds Bank,4.5,"""Good card """,Lloyds Bank has given an option to maintain a account with them and I am holding for past 12 years. On yearly basis charge is applicable of 15 to 30 pounds and it will be reflecting in countryment as well. ATM and branch services are good. Whenever they provide offers I use to get by message.,Excellent!,9,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.6124}",0.6124,Neutral,lloyds bank has given an option to maintain a account with them and i am holding for past 12 years on yearly basis charge is applicable of 15 to 30 pounds and it will be reflecting in countryment as well atm and branch services are good whenever they provide offers i use to get by message ,1
Slough,Santander,4.0,"""Apart private bank, atleast we should have SBI account ""","Since 11 years, i am using this Santander account which am very convenient. I received an offer for a zero balance account and the ATM facilities are near. The customer service was good . Even the responses are proper at the branch and am okay with the interest rate too.",Great!,15,"{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.7783}",0.7783,Neutral,since 11 years i am using this santander account which am very convenient i received an offer for a zero balance account and the atm facilities are near the customer service was good even the responses are proper at the branch and am okay with the interest rate too ,1
Slough,HSBC,4.0,"""Good account ""","I am holding salary account with HSBC Bank for the past 7-8 months . Since its this a salary account, no need to maintain a minimum balance amount. I am not using atm since i have paytm service  and mobile app which are quite easy to access. When ever, i log into it am getting a blank screen that need to be changed. The customer service is  good and responding properly.",Great!,9,"{'neg': 0.032, 'neu': 0.879, 'pos': 0.089, 'compound': 0.5984}",0.5984,Neutral,i am holding salary account with hsbc bank for the past 7 8 months since its this a salary account no need to maintain a minimum balance amount i am not using atm since i have paytm service and mobile app which are quite easy to access when ever i log into it am getting a blank screen that need to be changed the customer service is good and responding properly ,1
Slough,Barclays,5.0,"""Its a good account """,I have opened my savings account from Barclays Tesla bank more than 2.5 years and am making all transaction through this bank account. They have provided me a zero balance account.  I can find their branch's in all the places. They are not taking any kind of hidden charges.,Blown Away!,17,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.2732}",-0.2732,To be Improved,i have opened my savings account from barclays tesla bank more than 2 5 years and am making all transaction through this bank account they have provided me a zero balance account i can find their branch s in all the places they are not taking any kind of hidden charges ,1
Hull,HSBC,5.0,"""Best savings account""",My salary account is maintained with HSBC Bank for nearly 10 years and till now there was no issues. Its a friendly bank according to my experience. I am using the online service which is very good. Their customer service was good but fixed deposit interest rates was less.,Blown Away!,9,"{'neg': 0.03, 'neu': 0.779, 'pos': 0.191, 'compound': 0.8268}",0.8268,Blown Away,my salary account is maintained with hsbc bank for nearly 10 years and till now there was no issues its a friendly bank according to my experience i am using the online service which is very good their customer service was good but fixed deposit interest rates was less ,1
Cardiff,Santander,3.0,"""Need to decrease interest charge""","I have been using saving account with Santander for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",Satisfactory,13,"{'neg': 0.05, 'neu': 0.913, 'pos': 0.037, 'compound': -0.1967}",-0.1967,To be Improved,i have been using saving account with santander for the past 7 years i have visited the branch to open an account but their service is not much satisfied i need to maintain a minimum balance of 2k on monthly basis if not charges are applicable which is high there is some hidden charge they use to detect some amount on quarterly ,0
Peterborough,Unknown,5.0,"""Best account""",I am doing all my transactions with UKn bank and this branch is near to my residence. I am keeping minimum balance of pounds. 1000 and i have not faced any issues till now. UKn Bank has a very good customer service and this savings account has a normal rate of interest.,Blown Away!,13,"{'neg': 0.0, 'neu': 0.879, 'pos': 0.121, 'compound': 0.7346}",0.7346,Neutral,i am doing all my transactions with ukn bank and this branch is near to my residence i am keeping minimum balance of pounds 1000 and i have not faced any issues till now ukn bank has a very good customer service and this savings account has a normal rate of interest ,1
Peterborough,Santander,4.0,"""Good ""","I am maintaining my savings account with Santander, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of pounds. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",Great!,11,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.8265}",0.8265,Blown Away,i am maintaining my savings account with santander i have been using more than 10 years this is only savings account so i need to maintain minimum balance of pounds 1000 for cash withdrawal shopping i am receiving alert message and this bank has a very good app i didn t interact with the customer service till date rest all good with this bank ,1
Cardiff,HSBC,5.0,"""Need to provide other product offer """,I use to get my salary from HSBC because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,Blown Away!,10,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.5106}",-0.5106,To be Improved,i use to get my salary from hsbc because my company has given an option only from this bank i am using this account past 5 years so far i haven t faced any additional or hidden charge no need to maintain a minimum balance account atm charges are applicable if i done a transactions more than 5 times in a month i would suggest to provide more product offer ,1
Hull,Barclays,4.0,"""Good """,I maintain my savings account  with Barclays bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,Great!,17,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.5106}",-0.5106,To be Improved,i maintain my savings account with barclays bank for more than 2 years there is no hidden charges in this bank when i visit online at that time i came to know this bank has offered a zero balance account so i chosen it i am not getting any offers message from bank end ,1
Hull,Unknown,4.0,"""Good """,I am holding a saving account with United KingdomN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 pounds. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,Great!,14,"{'neg': 0.019, 'neu': 0.903, 'pos': 0.079, 'compound': 0.5557}",0.5557,Neutral,i am holding a saving account with united kingdomn bank for more than 5 years for my personal need i had opened an account with this bank but the branch is not near to reach them i need to maintain a minimum balance of 500 pounds i use to get an alert messages from bank whenever i do a transactions but not getting any offer message ,1
Hull,Unknown,4.0,"""Good account """,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,Great!,15,"{'neg': 0.0, 'neu': 0.922, 'pos': 0.078, 'compound': 0.5106}",0.5106,Neutral,my company has given an option to open a salary account with standard chartered bank and i maintain this account just 8 months it is a zero balance account i am using mobile app and it is user friendly to access branches are bit far away from my place to reach them i am not getting any offers message ,1
Cardiff,Santander,4.0,"""Good account """,Past 9 years I maintain my saving account with Santander. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,Great!,10,"{'neg': 0.073, 'neu': 0.809, 'pos': 0.119, 'compound': 0.4215}",0.4215,Neutral,past 9 years i maintain my saving account with santander the branch and atm services are fine whenever contact the customer service is good and responsive i use to get offer message from their end so far there is no any hidden charge in this account though its saving account i no need to maintain a minimum balance amount ,1
Cardiff,Unknown,4.5,"""Good """,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,Excellent!,15,"{'neg': 0.071, 'neu': 0.81, 'pos': 0.119, 'compound': 0.4404}",0.4404,Neutral,i am holding a salary account from bank of baroda more than 7 years there is no hidden charges in this bank they have not provide an option to maintain a minimum balance i am using mobile app and net banking both are user friendly to access atm and branch services are good also near to reach them directly ,1
Peterborough,Metro Bank,3.0,"""Need to improve their service """,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,Satisfactory,23,"{'neg': 0.035, 'neu': 0.859, 'pos': 0.106, 'compound': 0.601}",0.601,Neutral,i am not getting an alert message from canara bank whenever i do a transaction from their end so they need to provide better option to the customer to check the account balance details i use to visit branch and get good response from their end i am holding a saving account for the past 6 years ,0
Peterborough,HSBC,5.0,"""Good """,I maintain my salary cum saving account with HSBC for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,Blown Away!,12,"{'neg': 0.115, 'neu': 0.798, 'pos': 0.087, 'compound': -0.1689}",-0.1689,To be Improved,i maintain my salary cum saving account with hsbc for more than a year no need to maintain a minimum balance account so far there is no any hidden charges i can do transaction upto 40k i use mobile app and net banking service both are good on time i get alert message from bank for each transaction ,1
Hull,Unknown,4.0,"""Good Service""",I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,Great!,7,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.9618}",0.9618,Blown Away,i am using karur vysya bank saving account for the past 5 years only i will receive email as well as message alert and customer service is also good on this bank if i contact them for any query giving good response and banking service is much comfortable i am happy with the service as well ,1
Hull,Metro Bank,4.0,"""Good bank""","Metro Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",Great!,19,"{'neg': 0.042, 'neu': 0.767, 'pos': 0.191, 'compound': 0.7764}",0.7764,Neutral,metro bank has a very good app and also internet banking is very user friendly this is a salary cums savings no need to maintain a minimum balance if i withdrawal cash or done shopping i am getting alert messages from bank end and they given me a domestic debit card ,1
Basildon,Lloyds Bank,5.0,"""Good """,I am maintaining minimum balance of pounds. 250 + GST for Lloyds Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,Blown Away!,14,"{'neg': 0.087, 'neu': 0.793, 'pos': 0.12, 'compound': 0.3818}",0.3818,Neutral,i am maintaining minimum balance of pounds 250 gst for lloyds bank savings account and debit card since 5 years i am holding this account apart from this there is no hidden charges this bank has a good customer service and the rate of interest was nominal ,1
Basildon,Unknown,4.0,"""Good saving account """,I am keeping minimum balance of pounds. 1000 for UNITED BANK OF United Kingdom. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,Great!,18,"{'neg': 0.0, 'neu': 0.755, 'pos': 0.245, 'compound': 0.9175}",0.9175,Blown Away,i am keeping minimum balance of pounds 1000 for united bank of united kingdom since 12 years i am using this savings account and they given a domestic debit card this bank has a good application and their service was fine atm facilities is not good which is not nearby my place ,1
Walsall,Unknown,4.0,"""Better service""","Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",Great!,12,"{'neg': 0.084, 'neu': 0.673, 'pos': 0.243, 'compound': 0.9191}",0.9191,Blown Away,last 7 years i have been using the salary account from yes bank and its a hassle free account to use they are not taking any hidden charges once i called the customer care for the debit card purpose and the response was good there is no extra charges for fund transfer like imps and neft their mobile banking service need to be improved ,1
Hull,Unknown,5.0,"""Best account""","For cash withdrawal, i am getting instantly alert messages from UKn Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",Blown Away!,11,"{'neg': 0.148, 'neu': 0.789, 'pos': 0.064, 'compound': -0.656}",-0.656,To be Improved,for cash withdrawal i am getting instantly alert messages from ukn bank some times due to software problem i am unable to get messages since 16 years i am using this account so no need to maintain minimum balance atm facilities are near and debit card charges are applicable ,1
Hull,Santander,5.0,"""Best savings account""","Santander has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",Blown Away!,16,"{'neg': 0.043, 'neu': 0.787, 'pos': 0.169, 'compound': 0.7369}",0.7369,Neutral,santander has a very good application since i am using this savings account more than 7 years no need to maintain minimum balance because this is a salary comes savings account for cash withdrawal and all i am getting instantly alert text i am not getting any offer message from bank and their service was good ,1
Hull,Unknown,5.0,"""Good Bank""",I have opened the savings account from TNSC bank because its undertaken by country Government. I need to maintain a minimum balance of pounds. 1000. I have never applied the facility of mobile app and net banking. Bank response is good. They have taken almost 2 days to sent the debit card and cheque book to my residential address.,Blown Away!,8,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.4404}",0.4404,Neutral,i have opened the savings account from tnsc bank because its undertaken by country government i need to maintain a minimum balance of pounds 1000 i have never applied the facility of mobile app and net banking bank response is good they have taken almost 2 days to sent the debit card and cheque book to my residential address ,1
Hull,Unknown,5.0,"""Excellent bank""",6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account. I don't need to maintain any minimum balance. Its best bank but branches are not available like other banks anyway i don't feel its big issue because all the facilities are available on their app and net banking.,Blown Away!,17,"{'neg': 0.043, 'neu': 0.915, 'pos': 0.042, 'compound': -0.0168}",-0.0168,To be Improved,6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account i don t need to maintain any minimum balance its best bank but branches are not available like other banks anyway i don t feel its big issue because all the facilities are available on their app and net banking ,1
Hull,HSBC,5.0,"""Good customer service""","More than 8 years, i have been using the salary account from HSBC. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of pounds. 5 for IMPS transactions.",Blown Away!,8,"{'neg': 0.035, 'neu': 0.846, 'pos': 0.119, 'compound': 0.6249}",0.6249,Neutral,more than 8 years i have been using the salary account from hsbc i went to their branch for cash deposit or withdrawal and the response is good its a zero balance maintenance account their internet banking facility and mobile app is user friendly they don t charge me any hidden charges there is charge of pounds 5 for imps transactions ,1
Doncaster,Unknown,4.0,"""Best savings account""","For the past 8 months, i have been using salary account with Andhra Bank and its been very good experience. They are giving 3.5% interest rate for savings account and its okay. I'm not using using mobile banking for checking balance and to do transactions. Their app is easy to access.",Great!,8,"{'neg': 0.0, 'neu': 0.767, 'pos': 0.233, 'compound': 0.908}",0.908,Blown Away,for the past 8 months i have been using salary account with andhra bank and its been very good experience they are giving 3 5 interest rate for savings account and its okay i m not using using mobile banking for checking balance and to do transactions their app is easy to access ,1
Stockport,Unknown,5.0,"""Excellent Service""","I am using Syndicate bank salary account for the past  1.5 years with the net banking  service as well as mobile banking, these are good and I used to transfer money and also transaction history can be checked . Banking service is pretty good and customer service is also giving me good response if I contact them for any assistance.",Blown Away!,8,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9371}",0.9371,Blown Away,i am using syndicate bank salary account for the past 1 5 years with the net banking service as well as mobile banking these are good and i used to transfer money and also transaction history can be checked banking service is pretty good and customer service is also giving me good response if i contact them for any assistance ,1
London,Unknown,4.0,"""Good""","From United KingdomN Bank,  i am using savings account more than 3 months. This is salary comes savings and its a zero balance account but i am maintaining pounds. 500. This bank has a good app atm service are available near to my residency and their service was good.",Great!,11,"{'neg': 0.0, 'neu': 0.81, 'pos': 0.19, 'compound': 0.8625}",0.8625,Blown Away,from united kingdomn bank i am using savings account more than 3 months this is salary comes savings and its a zero balance account but i am maintaining pounds 500 this bank has a good app atm service are available near to my residency and their service was good ,1
Cardiff,Santander,5.0,"""Best account""",I have been holding an account for a saving with Santander for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.,Blown Away!,9,"{'neg': 0.106, 'neu': 0.875, 'pos': 0.019, 'compound': -0.6234}",-0.6234,To be Improved,i have been holding an account for a saving with santander for more than 5 years there is no hidden charges in this bank it is a zero balance account i am not using mobile app and net banking and i am not getting an alert messages from bank whenever i do a transactions atms and branches are near to reach them directly ,1
