author,date,address,bank,rating,review_title_by_user,review,bank_image,rating_title_by_user,useful_count
ANONYMOUS,"Mar 18, 2020",Bangalore,SBI,3,"""Need to decrease interest charge""","I have been using saving account with SBI for the past 7 years. I have visited the branch to open an account, but their service is not much satisfied. I need to maintain a minimum balance of 2K on monthly basis if not charges are applicable which is high. There is some hidden charge, they use to detect some amount on quarterly.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Satisfactory,13
V,"Mar 18, 2020",Hyderabad,review,5,"""Best account""",I am doing all my transactions with Indian bank and this branch is near to my residence. I am keeping minimum balance of Rs. 1000 and i have not faced any issues till now. Indian Bank has a very good customer service and this savings account has a normal rate of interest.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,13
V,"Mar 18, 2020",Hyderabad,SBI,4,"""Good ""","I am maintaining my savings account with SBI, i have been using more than 10 years. This is only savings account, so i need to maintain minimum balance of Rs. 1000 for cash withdrawal, shopping i am receiving alert message and this bank has a very good app. I didn't interact with the customer service till date. Rest all good with this bank.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,11
ANONYMOUS,"Mar 18, 2020",Bangalore,HDFC Bank,5,"""Need to provide other product offer """,I use to get my salary from HDFC bank because my company has given an option only from this bank. I am using this account past 5 years. So far I haven't faced any additional or hidden charge. No need to maintain a minimum balance account. ATM charges are applicable if I done a transactions  more than 5 times in a month.  I would suggest to provide more product offer.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,10
SHAN,"Mar 17, 2020",Chennai,Kotak,4,"""Good """,I maintain my savings account  with KOTAK bank for more than 2 years. There is no hidden charges in this bank. When I visit online at that time I came to know this bank has offered a zero balance account so I chosen it. I am not getting any offers message from bank end.,https://static.bankbazaar.com/images/common/bank-logo/kotak.png,Great!,17
HAM,"Mar 17, 2020",Chennai,review,4,"""Good """,I am holding a saving account with INDIAN BANK for more than 5 years. For my personal need I had opened an account with this bank but the branch is not near to reach them. I need to maintain a minimum balance of 500 rupees. I use to get an alert messages from bank whenever I do a transactions but not getting any offer message.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,14
MUGAN,"Mar 17, 2020",Chennai,review,4,"""Good account """,My company has given an option to open a salary account  with STANDARD CHARTERED BANK and I maintain this account just 8 months. It is a  zero balance account. I am using mobile app and it is user friendly to access. Branches are bit far away from my place to reach them. I am not getting any offers message.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,15
GA,"Mar 17, 2020",Bangalore,SBI,4,"""Good account """,Past 9 years I maintain my saving account with SBI. The branch and ATM services are fine. Whenever contact the customer service is good and responsive. I use to get offer message from their end. So far there is no any hidden charge in this account. Though its saving account I no need to maintain a minimum balance amount.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,10
NA,"Mar 17, 2020",Bangalore,review,4.5,"""Good """,I am holding a salary account from BANK OF BARODA  more than 7 years. There is no hidden charges in this bank. They have not provide an option to maintain a minimum balance. I am using mobile app and net banking both are user friendly to access. ATM and branch services are good also near to reach them directly.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Excellent!,15
PRAD,"Mar 17, 2020",Hyderabad,Canara Bank,3,"""Need to improve their service """,I am not getting an alert message from CANARA bank whenever I do a transaction from their end. So they need to provide better option to the customer to check the account balance details. I use to visit branch and get good response from their end. I am holding a saving account for the past 6 years.,https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png,Satisfactory,23
KUMAR,"Mar 17, 2020",Hyderabad,HDFC Bank,5,"""Good """,I maintain my salary cum saving account with HDFC bank for more than a year. No need to maintain a minimum balance account. So far there is no any hidden charges. I can do transaction upto 40K. I use mobile app and net banking service both are good.  On time I get alert message from bank for each transaction.,https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,12
S   ISMAIL,"Mar 16, 2020",Chennai,review,4,"""Good Service""",I am  using Karur Vysya Bank saving account for the past  5 years only.I will receive email as well as message alert and customer service  is also good on this bank .If I contact them for any query giving good response and banking service is much comfortable .I am happy with the service as well.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,7
D,"Mar 16, 2020",Chennai,Canara Bank,4,"""Good bank""","Canara Bank has a very good app and also internet banking is very user friendly. This is a salary cums savings, no need to maintain a minimum balance. If i withdrawal cash or done shopping, i am getting alert messages from bank end and they given me a domestic debit card.",https://static.bankbazaar.com/images/common/bank-logo/canara-bank.png,Great!,19
M,"Mar 16, 2020",Kolkata,Axis Bank,5,"""Good """,I am maintaining minimum balance of Rs. 250 + GST for Axis Bank savings account and debit card. Since 5 years i am holding this account apart from this there is no hidden charges . This bank has a good customer service and the rate of interest was nominal.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,14
M,"Mar 16, 2020",Kolkata,review,4,"""Good saving account """,I am keeping minimum balance of Rs. 1000 for UNITED BANK OF INDIA. Since 12 years i am using this savings account and they given a domestic debit card. This bank has a good application and their service was fine. ATM facilities is not good which is not nearby my place.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,18
SHEWALE,"Mar 16, 2020",Nasik,review,4,"""Better service""","Last 7 years, i have been using the salary account from YES bank and its a hassle free account to use. They are not taking any hidden charges. Once i called the customer care for the debit card purpose and the response was good. There is no extra charges for fund transfer like IMPS and NEFT. Their mobile banking service need to be improved.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,12
JOSEPH,"Mar 16, 2020",Chennai,review,5,"""Best account""","For cash withdrawal, i am getting instantly alert messages from Indian Bank some times due to software problem i am unable to get messages. Since 16 years i am using this account, so no need to maintain minimum balance.  ATM facilities are near and debit card charges are applicable.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,11
S,"Mar 16, 2020",Chennai,SBI,5,"""Best savings account""","SBI has a very good application, since i am using this savings account more than 7 years. No need to maintain minimum balance,  because this is a salary comes savings account. For cash withdrawal and all i am getting instantly alert text.  I am not getting any offer message from bank and their service was good.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,16
ANONYMOUS,"Mar 16, 2020",Chennai,review,5,"""Good Bank""",I have opened the savings account from TNSC bank because its undertaken by state Government. I need to maintain a minimum balance of Rs. 1000. I have never applied the facility of mobile app and net banking. Bank response is good. They have taken almost 2 days to sent the debit card and cheque book to my residential address.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,8
ANONYMOUS,"Mar 16, 2020",Chennai,review,5,"""Excellent bank""",6 years before i have chosen my standard chartered bank savings account earlier it was my salary account after that i have converted in savings account. I don't need to maintain any minimum balance. Its best bank but branches are not available like other banks anyway i don't feel its big issue because all the facilities are available on their app and net banking.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,17
G V N,"Mar 16, 2020",Chennai,HDFC Bank,5,"""Good customer service""","More than 8 years, i have been using the salary account from HDFC bank. I went to their branch for cash deposit or withdrawal and the response is good. Its a zero balance maintenance account. Their Internet banking facility and mobile app is user friendly. They don't charge me any hidden charges. There is charge of Rs. 5 for IMPS transactions.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,8
R N S N,"Mar 16, 2020",Mahabubnagar,review,4,"""Best savings account""","For the past 8 months, i have been using salary account with Andhra Bank and its been very good experience. They are giving 3.5% interest rate for savings account and its okay. I'm not using using mobile banking for checking balance and to do transactions. Their app is easy to access.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,8
S   PANCHAL,"Mar 15, 2020",New delhi,review,5,"""Excellent Service""","I am using Syndicate bank salary account for the past  1.5 years with the net banking  service as well as mobile banking, these are good and I used to transfer money and also transaction history can be checked . Banking service is pretty good and customer service is also giving me good response if I contact them for any assistance.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,8
A S,"Mar 15, 2020",Mumbai,review,4,"""Good""","From INDIAN Bank,  i am using savings account more than 3 months. This is salary comes savings and its a zero balance account but i am maintaining Rs. 500. This bank has a good app atm service are available near to my residency and their service was good.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,11
S,"Mar 15, 2020",Bangalore,SBI,5,"""Best account""",I have been holding an account for a saving with SBI for more than 5  years. There is no hidden charges in this bank. It is a zero balance account. I am not using mobile app and net banking and i am not getting an alert messages from bank whenever I do a transactions. ATMs and branches are near to reach them directly.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Blown Away!,9
P NAGPAL,"Mar 15, 2020",Pune,review,3,"""Features are average""","I have been with Standard chartered Bank for past 3 years. I have called the customer care to get the statements but it was not on time, they have provided after 2 to 3days. There is no annual fee for debit card. I use the online services which are okay, would suggest them to improve the application. And also its difficult to update the home address via online and couldn't apply for a new debit card, they need to improve these things.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Satisfactory,11
S,"Mar 15, 2020",Chandigarh,Axis Bank,5,"""Good savings account """,I am holding a savings with AXIS bank quite for a long time. There is no hidden charges in this bank. I am maintaining Rs. 10k minimum  balance account. I am using mobile app and Internet banking and it is user friendly to access. ATM and branches are near.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,10
SHAILESH  P,"Mar 15, 2020",Kolkata,HDFC Bank,5,"""Best savings account""","Since 12 years, i am using HDFC Bank savings account. This is a salary cums savings so no need to maintain minimum balance and this bank has a good app and user friendly. ATM facility is near and their service was good. When ever i do shopping i am getting instantly alert messages.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,9
A  DAS,"Mar 15, 2020",Mumbai,HDFC Bank,5,"""Excellent Service""","I am using HDFC Bank Salary account for the past 8 years and the net banking, mobile banking service is good which I used to  check all  transactions details. Banking  service is also  comfortable and  good. Each transaction is safe  and using this account much frequently.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,13
V,"Mar 15, 2020",Mumbai,HDFC Bank,4.5,"""Best savings account cums salary ""","HDFC Bank i am maintaining savings account this is a salary cums savings so no need to maintain minimum balance. This bank has a good app is and its fine to use. When ever i withdrawal cash i am getting alert message instantly  , atm service is very near.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Excellent!,15
S,"Mar 14, 2020",Bangalore,Citibank,5,"""Need to decrease the minimum balance ""","Taken my savings account from CITI Bank and  i am using this account more than 10 years. The branch is available near to my home, i am using their online banking facility and its very good to use. They are not deducting any hidden charges and i need to maintain a minimum balance of Rs. 1L compulsory, need to decrease that.",https://static.bankbazaar.com/images/common/bank-logo/citibank.png,Blown Away!,8
G HAREESH,"Mar 14, 2020",Medak,review,5,"""Good bank ""","I have opened my savings account in Andhra Bank 8 years ago. My experience is very good and I like the customer support. Other things are also good. I need to maintain a minimum balance of 1500, if not they will not cover accidental and term insurance. I took International debit card.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,7
G H,"Mar 14, 2020",Medak,Axis Bank,3,"""Minimum balance is so high which should be low""","I am doing all my transactions through AXIS Bank. Its been 1.5 years, am using this savings account. Am keeping minimum balance on a monthly basis Rs.10k, if not they putting lots of charges. The branch is near by to my residence, once I went to the bank to link my Aadhar card.",https://static.bankbazaar.com/images/common/bank-logo/axis.png,Satisfactory,11
S,"Mar 14, 2020",Kolkata,Axis Bank,5,"""Best service """,My savings account is maintained with AXIS Bank and this is a salary cum savings no need to maintain minimum balance. AXIS Bank has a very good application but i am using it with other bank because this is only salary account.This bank has a good customer service.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,10
SANTANU P,"Mar 14, 2020",Kolkata,review,4,"""Good""","From SYNDICATE Bank, i am using savings account more than 10 years. I am keeping minimum balance of Rs. 1000 and their service was good. I am not receiving any offer messages from bank but i received calls several times for loan offer. ATM is near but facility is not good which needs to be improved.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Great!,11
S P M,"Mar 14, 2020",Kolkata,review,5,"""Excellent bank ""","Since 40 years, i am using savings account from UCO Bank. This bank app is very good and their customer service was also good. I am maintaining minimum balance of Rs.1000 for cheque book account and ATM facility is available in walkable distance from home within 15minutes, I can reach. When ever i withdraw cash from ATM instantly getting alert messages.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,18
M S K,"Mar 13, 2020",Chennai,review,5,"""Good Account""","Almost 40 years, i am using Indian Bank savings account because it was recommended and opened this account when i was in young age. They are handling the customer very well. I need hold a minimum balance of Rs. 1000. Their ATM facility is available in all the places. I have not faced any troubles from this account. Overall, I'm satisfied with their services.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,11
M S K,"Mar 13, 2020",Chennai,HDFC Bank,5,"""Good Account""","2 years before, i have purchased the savings account from HDFC. When my son bought a home loan, they have given this account to me. They will calculate a average balance once in 3 months with the amount of Rs. 10000. Sometimes, i used to visit the branch for general enquiry but the branch was more crowded for most of the times.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,10
KITTU,"Mar 13, 2020",Chennai,review,5,"""Good supporting bank""",My company is having their current account in Indian Overseas bank hence they have provided me a salary account also to all the employees. I hold this account for almost 20 years and Its convenient for using the net banking facility. Frequently i used to visit their branch and the staffs are very supportive. I am maintaining a minimum balance of Rs. 1000.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,20
T PRAKASH,"Mar 13, 2020",Chennai,HDFC Bank,5,"""Best account""","Long  back i am using savings account from HDFC Bank. Its a zero balance account since this salary cums savings, when ever i withdrawal  cash getting alert messages and this application was good.  HDFC Bank has a good customer service and they responding properly.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,12
SM,"Mar 13, 2020",Bangalore,HDFC Bank,3,"""Good Account""","3 years back, i have opened the salary account from HDFC because i had my existing savings account with HDFC around 5 years before after that i have converted into salary account. I am maintaining a minimum balance of Rs. 2500. Maximum ATM withdrawal limit is Rs. 25000. They don't deduct any hidden charges.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Satisfactory,10
B G H,"Mar 13, 2020",Bangalore,Axis Bank,5,"""Best account""",I am holding a savings with account with AXIS bank for more than 1.5  years. There is no hidden charges in this bank. It is a zero balance account. I am using mobile app and Net banking  it is user friendly to access. ATM and branches are near to my residence.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,9
B G,"Mar 13, 2020",Bangalore,review,5,"""Best account""","I am using VIJAYA  Bank savings account for more than 4 years. Every day i can withdraw cash from atm upto Rs.50,000 and I will receive alert messages from the bank. Also I linked this account online like Google pay and more for an easy payment. I spoke to bank executive directly it was good.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,13
PALRAJ,"Mar 13, 2020",Bangalore,review,5,"""Good Account""","In Karur Vysya Bank, they are not charging me any extra amount. Bank is in near to my house so i have chosen them. I need to maintain a minimum balance of Rs. 1000. Its very good to use the net banking and mobile app and i find all the option in that. After completion of 5 transaction from other ATM, they are charging Rs. 20 for each transaction.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,10
D,"Mar 13, 2020",Indore,HDFC Bank,5,"""Best bank""","From HDFC Bank ,  i am maintaining minimum balance of Rs. 20,000. I am using this savings account quite for a long time and this bank has good ATM facilities. When ever i do cash withdrawal instantly i am getting alert messages and they given international debit card.",https://static.bankbazaar.com/images/common/bank-logo/hdfc.png,Blown Away!,9
ANONYMOUS,"Mar 13, 2020",Chennai,review,5,"""Good Service""","More than 20 years, i have been using the salary account with Indian Overseas Bank because the branch is located nearby my place.  They don't take any hidden charges. I never experienced of their net banking facility and mobile app. When i visited the branch, response is prompt and the employees are helpful.",https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,17
Aarti,"Mar 12, 2020",Mumbai,Axis Bank,0.5,"""Bad Customer support""","Axis bank has limited options in menu of Customer support, this means they do not welcome any other query apart from set menu, their phone banking numbers are useless they doesnt provide any extra info or let us speak to customer support executive. Neither there is option to write a mail regarding our issue.We have to directly visit bank branch which is not always possible as the office time of the branch and our work time are same. Do they expect us to visit branch for every issues to get resolved. aleast let us write about our issue.This is really disgusting. And i wasted my time calling customer support and downloaded app for solution but there also they have limited options. There are more issues we face such as non deduction( auto debit) of set payments on decided date . where should we complain. Should we pay penalty for non payments on due date by bank and take off from our office to visit axis bank branch to report work not done by the bank.",https://static.bankbazaar.com/images/common/bank-logo/axis.png,Unacceptable,29
YADAV,"Mar 12, 2020",Pune,SBI,4,"""They can improve the interest rate on savings account""","Almost 4 years back, i went to the SBI branch and opened the savings account because they have a good credibility in the market. Earlier i need to hold a minimum balance of Rs. 1000 and now that has been not required. Its convenient to use the net banking and mobile app facility. I find the ATMs even in remote areas.",https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Great!,13
YADAV,"Mar 12, 2020",Pune,Citibank,4,"""Overall its good""",Opened my salary account from CITI bank before 2 years. I never had any hassles till now. There is no criteria to maintain any minimum balance. Its good to use the net banking and mobile app facility. Only once i have visited their branch for signature verification and the response was good in the branch.,https://static.bankbazaar.com/images/common/bank-logo/citibank.png,Great!,10
YAD,"Mar 12, 2020",New delhi,Axis Bank,5,"""Good commerical bank """,I am holding a savings account  in AXIS bank for more than 1.5 years. Through online I opened an account. There is no hidden charges in this bank. It is a zero balance account. ATMs and branches are near to reach them directly. i am getting good offer message. SMS charge is applicable of 15 rupees.,https://static.bankbazaar.com/images/common/bank-logo/axis.png,Blown Away!,10
AV,"Mar 12, 2020",New delhi,review,5,"""Nee to provide more offer message """,I have been using salary account from SYNDICATE BANK. I have been using this account for past 3 years. It is a zero  balance account with no hidden charge. I am not getting  offers message. On quarterly basis SMS charge  will be  applicable of 15 rupees.  I use to do transaction more than 5 times so charge will be applicable of 25 rupees.,https://static.bankbazaar.com/images/common/bank-logo/ALL_BANKS.png,Blown Away!,10
RA,"Mar 12, 2020",Hyderabad,SBI,2,"""Medium""",I am holding a saving account with SBI bank for more than 5 years. There is no hidden charges in this bank. It is user friendly to access mobile app. Need to maintain a minimum balance for this account of 5K. I get an alert messages from bank whenever I do a transactions.,https://static.bankbazaar.com/images/common/bank-logo/sbi-4.png,Expected more,10
